DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
31102025|524675|0000000000004757|0000000000091478|0000000000005086|0000000000096953|093.53
31102025|524687|0000000000063993|0000000000929819|0000000000065701|0000000000949308|097.40
31102025|524703|0000000000003657|0000000000163688|0000000000003681|0000000000164147|099.35
31102025|524709|0000000000006909|0000000001407386|0000000000006909|0000000001407386|100.00
31102025|524711|0000000000002150|0000000000021113|0000000000002786|0000000000027348|077.17
31102025|524715|0000000000073128|0000000123575351|0000000000104367|0000000177117448|070.07
31102025|524717|0000000000002771|0000000002921188|0000000000002771|0000000002921188|100.00
31102025|524731|0000000000012909|0000000016431867|0000000000029431|0000000037270175|043.86
31102025|524735|0000000000005102|0000000001217083|0000000000006803|0000000001627411|075.00
31102025|524742|0000000000001322|0000000002687759|0000000000001678|0000000003415394|078.78
31102025|524743|0000000000059395|0000000006987822|0000000000167419|0000000019867437|035.48
31102025|524748|0000000000000647|0000000000022645|0000000000000849|0000000000030097|076.21
31102025|524752|0000000000004802|0000000000045043|0000000000007263|0000000000068593|066.12
31102025|524768|0000000000000707|0000000000021510|0000000000000707|0000000000021510|100.00
31102025|524774|0000000000000054|0000000000081168|0000000000000065|0000000000098497|083.08
31102025|524790|0000000000002414|0000000000946047|0000000000002462|0000000000971449|098.05
31102025|524804|0000000000148910|0000000169556372|0000000000228796|0000000261126592|065.08
31102025|524808|0000000000000460|0000000000012715|0000000000000665|0000000000018322|069.17
31102025|524816|0000000000012119|0000000009940004|0000000000021158|0000000017515351|057.28
31102025|524818|0000000000003783|0000000000618332|0000000000004806|0000000000788387|078.71
31102025|524820|0000000000001009|0000000000270766|0000000000001211|0000000000324721|083.32
31102025|524824|0000000000000054|0000000000004445|0000000000000065|0000000000005389|083.08
31102025|524828|0000000000000527|0000000000222519|0000000000000527|0000000000222519|100.00
31102025|526001|0000000000000132|0000000000001175|0000000000000132|0000000000001174|100.00
31102025|526025|0000000000008655|0000000000140298|0000000000010932|0000000000174946|079.17
31102025|526027|0000000000000804|0000000000074708|0000000000000955|0000000000089037|084.19
31102025|526043|0000000000003513|0000000000200241|0000000000003513|0000000000199223|100.00
31102025|526071|0000000000001758|0000000000469298|0000000000001758|0000000000469298|100.00
31102025|526073|0000000000001447|0000000001087421|0000000000001658|0000000001255999|087.27
31102025|526081|0000000000000506|0000000000008562|0000000000000522|0000000000008867|096.93
31102025|526095|0000000000006497|0000000000306724|0000000000010189|0000000000471021|063.76
31102025|526113|0000000000000610|0000000000008778|0000000000000610|0000000000008425|100.00
31102025|526115|0000000000003309|0000000000049756|0000000000003309|0000000000049756|100.00
31102025|526117|0000000000000395|0000000000158731|0000000000000520|0000000000208075|075.96
31102025|526125|0000000000005083|0000000001905871|0000000000006523|0000000002444699|077.92
31102025|526133|0000000000005276|0000000000038251|0000000000005276|0000000000038918|100.00
31102025|526137|0000000000008051|0000000000963303|0000000000010486|0000000001265470|076.78
31102025|526139|0000000000053065|0000000000200586|0000000000073666|0000000000268124|072.03
31102025|526143|0000000000001881|0000000000017832|0000000000002109|0000000000020392|089.19
31102025|526159|0000000000010058|0000000001149127|0000000000012798|0000000001464663|078.59
31102025|526161|0000000000000002|0000000000000216|0000000000000003|0000000000000321|066.67
31102025|526169|0000000000003714|0000000000893589|0000000000005743|0000000001380962|064.67
31102025|526173|0000000000057755|0000000001539749|0000000000077041|0000000002060153|074.97
31102025|526179|0000000000000277|0000000000106964|0000000000000277|0000000000107352|100.00
31102025|526187|0000000000001336|0000000000007322|0000000000001336|0000000000007309|100.00
31102025|526193|0000000000002151|0000000000045107|0000000000002855|0000000000059108|075.34
31102025|526211|0000000000003086|0000000000158621|0000000000003806|0000000000196316|081.08
31102025|526217|0000000000001379|0000000000267182|0000000000003965|0000000000764746|034.78
31102025|526225|0000000000000196|0000000000002225|0000000000000196|0000000000002225|100.00
31102025|526227|0000000000060083|0000000003803855|0000000000121889|0000000007803922|049.29
31102025|526231|0000000000000324|0000000000016839|0000000000000592|0000000000031301|054.73
31102025|526237|0000000000000889|0000000000063813|0000000000001141|0000000000082284|077.91
31102025|526241|0000000000001885|0000000000029765|0000000000003002|0000000000047148|062.79
31102025|526247|0000000000062278|0000000041081683|0000000000123144|0000000080036209|050.57
31102025|526251|0000000000003939|0000000000085753|0000000000006574|0000000000147267|059.92
31102025|526263|0000000000001749|0000000000349276|0000000000002677|0000000000534161|065.33
31102025|526269|0000000000000468|0000000000057471|0000000000000578|0000000000071258|080.97
31102025|526299|0000000000014240|0000000039347256|0000000000034044|0000000095786057|041.83
31102025|526301|0000000000000360|0000000000014213|0000000000000385|0000000000015113|093.51
31102025|526315|0000000000000704|0000000000040889|0000000000000889|0000000000052032|079.19
31102025|526325|0000000000000111|0000000000009619|0000000000000160|0000000000013985|069.38
31102025|526335|0000000000034106|0000000000276259|0000000000054314|0000000000453269|062.79
31102025|526345|0000000000004984|0000000000087669|0000000000005034|0000000000089871|099.01
31102025|526355|0000000000000516|0000000000037287|0000000000000566|0000000000040741|091.17
31102025|526365|0000000000004273|0000000000130327|0000000000006502|0000000000196520|065.72
31102025|526367|0000000000000653|0000000000545190|0000000000001281|0000000001069134|050.98
31102025|526371|0000000000328082|0000000024862054|0000000000624472|0000000047238966|052.54
31102025|526373|0000000000000147|0000000000009062|0000000000000157|0000000000009638|093.63
31102025|526381|0000000000022581|0000000000318618|0000000000026968|0000000000381206|083.73
31102025|526397|0000000000000789|0000000000201195|0000000000000942|0000000000239260|083.76
31102025|526407|0000000000010392|0000000000192564|0000000000013127|0000000000243234|079.16
31102025|526409|0000000000017945|0000000000188437|0000000000017945|0000000000188437|100.00
31102025|526415|0000000000479931|0000000003100355|0000000000536905|0000000003492915|089.39
31102025|526423|0000000000000283|0000000000032206|0000000000000466|0000000000053484|060.73
31102025|526431|0000000000000020|0000000000000552|0000000000000020|0000000000000552|100.00
31102025|526433|0000000000003969|0000000013798031|0000000000007090|0000000024702560|055.98
31102025|526435|0000000000000761|0000000000071550|0000000000001052|0000000000099118|072.34
31102025|526439|0000000000000571|0000000000006994|0000000000000571|0000000000006994|100.00
31102025|526441|0000000000007783|0000000000008717|0000000000009783|0000000000010950|079.56
31102025|526443|0000000000017490|0000000002741038|0000000000017490|0000000002741038|100.00
31102025|526445|0000000000046221|0000000000652641|0000000000060968|0000000000848874|075.81
31102025|526468|0000000000000501|0000000000010020|0000000000000528|0000000000010592|094.89
31102025|526471|0000000000004778|0000000000137798|0000000000006853|0000000000200114|069.72
31102025|526473|0000000000012030|0000000000064621|0000000000012030|0000000000064621|100.00
31102025|526477|0000000000002914|0000000000118318|0000000000002914|0000000000118318|100.00
31102025|526479|0000000000003081|0000000000286564|0000000000003258|0000000000303350|094.57
31102025|526481|0000000000000567|0000000000023866|0000000000000664|0000000000028146|085.39
31102025|526490|0000000000015512|0000000000121212|0000000000015512|0000000000121212|100.00
31102025|526492|0000000000000095|0000000000011652|0000000000000098|0000000000012062|096.94
31102025|526494|0000000000006329|0000000000071746|0000000000006329|0000000000071746|100.00
31102025|526500|0000000000001000|0000000000031510|0000000000001000|0000000000031531|100.00
31102025|526506|0000000000004580|0000000000756387|0000000000005493|0000000000909024|083.38
31102025|526508|0000000000001431|0000000000020879|0000000000002534|0000000000037416|056.47
31102025|526519|0000000000010691|0000000001421369|0000000000015501|0000000002068683|068.97
31102025|526521|0000000000000789|0000000000051475|0000000000001280|0000000000083473|061.64
31102025|526525|0000000000000033|0000000000000570|0000000000000033|0000000000000570|100.00
31102025|526530|0000000000024201|0000000001977464|0000000000038683|0000000003143844|062.56
31102025|526532|0000000000016608|0000000000172890|0000000000019423|0000000000206923|085.51
31102025|526544|0000000000020072|0000000000080489|0000000000033184|0000000000132008|060.49
31102025|526546|0000000000036103|0000000005175366|0000000000044072|0000000006015919|081.92
31102025|526550|0000000000000700|0000000000011830|0000000000000714|0000000000012344|098.04
31102025|526554|0000000000000007|0000000000000171|0000000000000007|0000000000000170|100.00
31102025|526570|0000000000002220|0000000005005964|0000000000002220|0000000005005964|100.00
31102025|526574|0000000000001902|0000000000044812|0000000000002125|0000000000050071|089.51
31102025|526582|0000000000000293|0000000000020845|0000000000000310|0000000000022167|094.52
31102025|526586|0000000000004978|0000000002570889|0000000000006531|0000000003392593|076.22
31102025|526588|0000000000000071|0000000000001144|0000000000000072|0000000000001141|098.61
31102025|526596|0000000000000067|0000000000021437|0000000000000070|0000000000022411|095.71
31102025|526604|0000000000001527|0000000000045154|0000000000001528|0000000000045058|099.93
31102025|526608|0000000000000084|0000000000082446|0000000000000085|0000000000083811|098.82
31102025|526612|0000000000019909|0000000130863848|0000000000061336|0000000406677229|032.46
31102025|526614|0000000000034229|0000000002700669|0000000000049001|0000000003699836|069.85
31102025|526616|0000000000000890|0000000000049146|0000000000001135|0000000000063211|078.41
31102025|526622|0000000000264210|0000000000137390|0000000000370003|0000000000192415|071.41
31102025|526628|0000000000000100|0000000000003800|0000000000000100|0000000000003800|100.00
31102025|526638|0000000000002168|0000000000206047|0000000000003563|0000000000341457|060.85
31102025|526640|0000000000004741|0000000000199312|0000000000006172|0000000000259803|076.81
31102025|526642|0000000000002035|0000000000076130|0000000000002781|0000000000104000|073.18
31102025|526650|0000000000073299|0000000005047370|0000000000119949|0000000008279174|061.11
31102025|526654|0000000000002514|0000000000374586|0000000000002514|0000000000395406|100.00
31102025|526662|0000000000001803|0000000000085643|0000000000001803|0000000000085430|100.00
31102025|526666|0000000000000179|0000000000151954|0000000000000261|0000000000220545|068.58
31102025|526668|0000000000002568|0000000000751269|0000000000003980|0000000001176102|064.52
31102025|526677|0000000000003403|0000000000009563|0000000000003405|0000000000009730|099.94
31102025|526703|0000000000000052|0000000000027040|0000000000000054|0000000000028039|096.30
31102025|526705|0000000000000369|0000000000081660|0000000000000419|0000000000092885|088.07
31102025|526709|0000000001319806|0000000023473585|0000000001319806|0000000023473585|100.00
31102025|526711|0000000000000820|0000000000027314|0000000000000820|0000000000027314|100.00
31102025|526717|0000000000069788|0000000011413828|0000000000071271|0000000010781407|097.92
31102025|526721|0000000000001359|0000000000135221|0000000000001672|0000000000167670|081.28
31102025|526723|0000000000001543|0000000000278666|0000000000002576|0000000000470426|059.90
31102025|526725|0000000000000021|0000000000024465|0000000000000023|0000000000026777|091.30
31102025|526727|0000000000010462|0000000000713300|0000000000015259|0000000001036638|068.56
31102025|526729|0000000000003456|0000000001240013|0000000000007091|0000000002556638|048.74
31102025|526731|0000000000001240|0000000000406348|0000000000001472|0000000000477836|084.24
31102025|526739|0000000000001370|0000000000471691|0000000000001696|0000000000580163|080.78
