DATE,SYMBOL,DELIV_QTY,DELIV_PER
28012026,532143,0000000000067385,039.87
28012026,532144,0000000000009497,043.80
28012026,532145,0000000000000442,069.17
28012026,532149,0000000000267773,048.16
28012026,532150,0000000000021200,065.90
28012026,532154,0000000000375652,073.47
28012026,532155,0000000000515892,062.76
28012026,532156,0000000000085909,045.35
28012026,532159,0000000000001253,095.36
28012026,532160,0000000000003839,050.76
28012026,532162,0000000000002496,064.41
28012026,532163,0000000000005467,049.65
28012026,532164,0000000000000276,100.00
28012026,532172,0000000000050301,100.00
28012026,532173,0000000000001243,068.33
28012026,532174,0000000000600000,070.22
28012026,532175,0000000000004619,040.02
28012026,532178,0000000000142199,044.23
28012026,532180,0000000000041532,068.17
28012026,532181,0000000000125866,036.68
28012026,532183,0000000000148351,076.98
28012026,532187,0000000000040415,039.28
28012026,532189,0000000000001333,088.81
28012026,532209,0000000000150881,058.16
28012026,532210,0000000000058243,055.26
28012026,532212,0000000000004803,096.19
28012026,532215,0000000000341428,059.16
28012026,532216,0000000000000090,100.00
28012026,532217,0000000000000176,100.00
28012026,532218,0000000000554154,042.98
28012026,532219,0000000000002006,100.00
28012026,532221,0000000000009031,045.66
28012026,532230,0000000000002308,058.97
28012026,532234,0000000000718282,040.60
28012026,532240,0000000000000402,066.56
28012026,532256,0000000000000097,062.99
28012026,532259,0000000000001796,039.97
28012026,532262,0000000000000167,100.00
28012026,532268,0000000000000549,074.59
28012026,532271,0000000000003324,091.29
28012026,532275,0000000000028175,100.00
28012026,532281,0000000000034188,050.88
28012026,532284,0000000000017578,082.02
28012026,532285,0000000000010642,062.98
28012026,532286,0000000000047607,051.71
28012026,532290,0000000000038683,076.84
28012026,532296,0000000000004927,057.73
28012026,532300,0000000000006597,043.85
28012026,532303,0000000000000200,100.00
28012026,532304,0000000000000100,097.09
28012026,532305,0000000000003483,067.75
28012026,532309,0000000000008891,049.78
28012026,532310,0000000000007537,075.21
28012026,532313,0000000000003654,047.26
28012026,532315,0000000000008280,100.00
28012026,532320,0000000000001523,100.00
28012026,532321,0000000000017750,064.63
28012026,532323,0000000000106500,071.11
28012026,532324,0000000000001368,100.00
28012026,532326,0000000000009066,086.96
28012026,532329,0000000000000597,069.10
28012026,532331,0000000000000451,039.39
28012026,532332,0000000000000010,100.00
28012026,532333,0000000000000870,080.11
28012026,532334,0000000000000275,064.10
28012026,532335,0000000000001893,093.34
28012026,532339,0000000000001197,099.67
28012026,532340,0000000000003953,100.00
28012026,532341,0000000000004268,054.18
28012026,532343,0000000000019568,036.33
28012026,532344,0000000000000018,094.74
28012026,532348,0000000000087189,053.89
28012026,532349,0000000000000402,085.71
28012026,532350,0000000000002450,100.00
28012026,532351,0000000000010991,085.15
28012026,532354,0000000000000910,097.64
28012026,532355,0000000000000101,099.02
28012026,532356,0000000001955769,099.73
28012026,532357,0000000000001073,100.00
28012026,532359,0000000000279381,082.08
28012026,532362,0000000000005729,100.00
28012026,532365,0000000000000970,043.30
28012026,532366,0000000000009313,060.71
28012026,532368,0000000000494075,050.50
28012026,532369,0000000000001204,070.95
28012026,532370,0000000000004919,076.39
28012026,532371,0000000000055831,040.14
28012026,532372,0000000000013779,099.78
28012026,532373,0000000000017005,071.70
28012026,532374,0000000000588851,046.90
28012026,532375,0000000000006599,040.09
28012026,532376,0000000000021337,089.34
28012026,532378,0000000000002577,089.26
28012026,532379,0000000000000491,100.00
28012026,532380,0000000000001837,100.00
28012026,532382,0000000000003657,062.11
28012026,532384,0000000000002254,074.32
28012026,532386,0000000000000169,099.41
28012026,532387,0000000000000454,051.42
28012026,532388,0000000000346197,044.74
28012026,532390,0000000000004537,053.96
28012026,532392,0000000000000449,079.05
28012026,532395,0000000000012846,076.73
28012026,532397,0000000000001009,099.31
28012026,532398,0000000000003139,099.49
28012026,532400,0000000000010314,030.97
28012026,532402,0000000000002281,099.91
28012026,532404,0000000000004138,095.88
28012026,532406,0000000000144907,037.16
28012026,532407,0000000000147807,042.69
28012026,532408,0000000000021952,100.00
28012026,532410,0000000000010269,064.63
28012026,532413,0000000000213116,100.00
28012026,532419,0000000000000003,050.00
28012026,532424,0000000000010300,054.23
28012026,532425,0000000000005646,061.32
28012026,532430,0000000000001056,100.00
28012026,532432,0000000000012215,054.99
28012026,532435,0000000000048131,076.51
28012026,532439,0000000000024447,036.98
28012026,532440,0000000000000141,039.94
28012026,532443,0000000000000535,075.14
28012026,532444,0000000000014057,100.00
28012026,532454,0000000000688853,082.86
28012026,532455,0000000000001508,071.81
28012026,532456,0000000000001612,100.00
28012026,532457,0000000000000942,069.67
28012026,532460,0000000000000015,100.00
28012026,532461,0000000000186371,035.29
28012026,532466,0000000000002313,070.18
28012026,532467,0000000000098018,052.57
28012026,532468,0000000000007231,089.77
28012026,532475,0000000000002183,049.02
28012026,532477,0000000000710682,056.10
28012026,532478,0000000000003820,089.67
28012026,532481,0000000000018286,062.35
28012026,532482,0000000000007605,029.76
28012026,532483,0000000001396931,061.62
28012026,532485,0000000000037055,064.37
28012026,532486,0000000000000914,058.07
28012026,532488,0000000000002798,059.76
28012026,532493,0000000000006383,035.65
28012026,532497,0000000000008109,035.93
28012026,532500,0000000000031868,041.19
28012026,532503,0000000000001031,079.80
28012026,532504,0000000000001894,034.53
28012026,532505,0000000000252076,051.73
28012026,532507,0000000000009033,059.65
28012026,532508,0000000000006079,036.69
28012026,532509,0000000000000994,028.52
28012026,532513,0000000000006901,100.00
28012026,532514,0000000000052624,051.08
28012026,532515,0000000000003130,081.30
28012026,532521,0000000000001565,082.07
28012026,532522,0000000000060000,040.91
28012026,532523,0000000000031971,058.19
28012026,532524,0000000000078191,056.70
28012026,532525,0000000000233940,047.77
28012026,532527,0000000000007631,056.10
28012026,532528,0000000000001598,050.36
28012026,532529,0000000000007913,047.17
28012026,532531,0000000000002358,022.24
28012026,532538,0000000000006474,058.79
28012026,532539,0000000000008714,057.63
28012026,532540,0000000000073632,051.13
28012026,532541,0000000000028620,062.21
28012026,532543,0000000000003985,085.63
28012026,532548,0000000000000537,034.67
28012026,532553,0000000000002206,026.79
28012026,532555,0000000000999864,083.66
28012026,532604,0000000000007226,100.00
28012026,532605,0000000000016094,030.67
28012026,532610,0000000000015668,056.82
28012026,532612,0000000000001374,050.98
28012026,532613,0000000000012574,089.76
28012026,532614,0000000000003196,100.00
28012026,532616,0000000000002740,057.85
28012026,532624,0000000000000423,029.94
28012026,532626,0000000000022511,051.69
28012026,532627,0000000002973390,044.55
28012026,532628,0000000000036728,072.33
28012026,532630,0000000000077273,045.11
28012026,532633,0000000000000464,063.13
28012026,532636,0000000000095119,029.51
28012026,532637,0000000000001738,100.00
28012026,532638,0000000000000634,091.88
