DATE,SYMBOL,DELIV_QTY,DELIV_PER
20250805,500002,7889,36.84
20250805,500003,4311,51.54
20250805,500008,11993,48.18
20250805,500009,23079,74.78
20250805,500012,17165,62.09
20250805,500013,18424,100.0
20250805,500014,12124,81.23
20250805,500016,1255,82.73
20250805,500020,21408,44.33
20250805,500023,383,95.04
20250805,500027,204,56.04
20250805,500028,9754,83.19
20250805,500031,1771,48.75
20250805,500032,319877,59.53
20250805,500033,4721,42.46
20250805,500034,78894,33.99
20250805,500038,3428,60.76
20250805,500039,4908,46.98
20250805,500040,709,35.08
20250805,500041,103,82.4
20250805,500042,1374,58.42
20250805,500043,1308,53.69
20250805,500048,10790,34.68
20250805,500049,234922,32.02
20250805,500052,20643,68.87
20250805,500058,23154,100.0
20250805,500059,1172,100.0
20250805,500060,2485,100.0
20250805,500067,4630,45.19
20250805,500068,74,52.48
20250805,500069,187,98.42
20250805,500074,5794,67.51
20250805,500078,366,82.99
20250805,500083,7390,84.8
20250805,500084,35216,36.13
20250805,500085,284330,33.55
20250805,500086,77589,31.7
20250805,500087,9860,58.94
20250805,500089,845,23.51
20250805,500092,462,52.2
20250805,500093,81501,58.27
20250805,500096,23157,61.71
20250805,500097,2099,59.29
20250805,500101,7939,39.84
20250805,500103,122980,29.56
20250805,500104,77208,27.53
20250805,500106,160841,50.54
20250805,500108,48664,49.58
20250805,500109,43058,40.68
20250805,500110,23137,46.94
20250805,500112,229119,44.72
20250805,500113,83582,38.15
20250805,500114,10559,41.42
20250805,500116,192932,49.44
20250805,500117,14520,49.43
20250805,500119,5511,79.25
20250805,500120,2364,97.28
20250805,500123,553,63.56
20250805,500124,22342,55.56
20250805,500125,8948,45.71
20250805,500126,511,53.34
20250805,500128,46853,55.33
20250805,500133,252,77.54
20250805,500135,7469,52.78
20250805,500136,4848,59.86
20250805,500142,7666,62.1
20250805,500143,5068,100.0
20250805,500144,1788,58.18
20250805,500147,1029,67.3
20250805,500148,933,70.47
20250805,500150,367,45.53
20250805,500151,1251,100.0
20250805,500153,22625,85.44
20250805,500159,792,74.58
20250805,500160,28599,77.87
20250805,500163,63155,45.04
20250805,500164,1670,67.04
20250805,500165,4607,43.07
20250805,500166,2815,79.21
20250805,500168,2333,82.06
20250805,500170,3000,62.45
20250805,500171,10240,83.76
20250805,500173,2587,36.26
20250805,500174,453,100.0
20250805,500179,8542,100.0
20250805,500180,92557,7.43
20250805,500182,12931,37.14
20250805,500183,153023,40.3
20250805,500184,18082,46.54
20250805,500185,316055,100.0
20250805,500186,15116,69.16
20250805,500187,4435,31.48
20250805,500188,24332,47.67
20250805,500189,549,95.64
20250805,500191,2437,100.0
20250805,500192,21468,75.29
20250805,500193,13080,81.21
20250805,500199,1326,83.87
20250805,500201,4115,53.48
20250805,500202,30970,100.0
20250805,500206,992,94.3
20250805,500207,4671,100.0
20250805,500209,406000,82.65
20250805,500210,378,53.62
20250805,500213,439,80.85
20250805,500214,3167,43.29
20250805,500215,498,46.94
20250805,500219,119378,72.49
20250805,500220,983,74.75
20250805,500227,1245,65.7
20250805,500228,177346,87.85
20250805,500233,45976,94.66
20250805,500234,1034,99.33
20250805,500235,1374,55.97
20250805,500238,1147,56.98
20250805,500239,18142,93.5
20250805,500240,9344,100.0
20250805,500241,948,37.8
20250805,500243,224,59.42
20250805,500245,33166,61.48
20250805,500246,16,50.0
20250805,500247,45361,86.91
20250805,500249,758,46.25
20250805,500250,2357,79.63
20250805,500251,8690,34.82
20250805,500252,63,46.67
20250805,500253,35418,34.27
20250805,500257,4016,34.56
20250805,500259,2236,85.08
20250805,500260,3007,50.04
20250805,500262,3624,100.0
20250805,500264,383893,46.0
20250805,500265,16258,37.06
20250805,500266,174,48.47
20250805,500267,574,99.48
20250805,500268,34879,51.18
20250805,500270,494,89.17
20250805,500271,646,37.36
20250805,500277,1410,55.36
20250805,500279,148011,34.62
20250805,500280,1552,61.69
20250805,500282,166,70.04
20250805,500284,16154,100.0
20250805,500285,2226628,51.11
20250805,500288,50357,54.76
20250805,500290,107,40.84
20250805,500292,2578,49.7
20250805,500294,113028,42.45
20250805,500295,56073,47.54
20250805,500296,1400,52.24
20250805,500298,853,55.64
20250805,500300,6526,43.83
20250805,500302,8866,37.89
20250805,500304,18653,29.72
20250805,500306,17882,72.38
20250805,500307,1407,78.52
20250805,500312,380903,72.51
20250805,500313,2540,90.39
20250805,500314,2439,67.02
20250805,500317,179935,48.61
20250805,500319,797,70.16
20250805,500322,367,100.0
20250805,500325,129072,15.1
20250805,500327,3289,100.0
20250805,500330,20148,38.28
20250805,500331,12142,52.67
20250805,500333,695,47.93
20250805,500335,492,32.05
20250805,500336,12030,68.15
20250805,500337,746,62.32
20250805,500338,4831,73.7
20250805,500339,6664,56.79
20250805,500342,2164,14.25
20250805,500343,7720,90.44
20250805,500346,3343,100.0
20250805,500350,1689,52.24
20250805,500354,3156,92.74
20250805,500355,16186,40.91
20250805,500356,3900,100.0
20250805,500357,173,100.0
20250805,500360,1021,100.0
20250805,500365,193474,81.42
20250805,500366,123589,100.0
20250805,500367,8636,55.63
20250805,500368,15000,55.12
20250805,500370,2632,94.54
20250805,500378,58725,48.69
20250805,500380,3769,47.76
20250805,500387,296,43.27
20250805,500388,591,63.14
20250805,500389,19201,100.0
20250805,500390,72734,100.0
20250805,500400,456683,74.54
20250805,500402,40204,56.2
20250805,500403,2567,69.14
20250805,500404,3837,47.53
20250805,500405,838,54.45
20250805,500407,326,48.88
20250805,500408,1501,47.73
20250805,500410,3755,44.11
20250805,500411,2193,41.24
20250805,500412,15278,48.87
20250805,500413,389285,84.36
20250805,500414,536265,75.16
20250805,500418,512,87.22
20250805,500420,2015,45.26
20250805,500421,5765,41.42
20250805,500422,1234,68.75
20250805,500425,9750,35.51
20250805,500426,3721,93.59
20250805,500429,2401,70.18
20250805,500439,40,86.96
20250805,500440,108313,71.88
20250805,500444,1505,52.51
20250805,500449,19024,100.0
20250805,500456,2785,79.01
20250805,500458,20138,100.0
20250805,500459,96,55.17
20250805,500460,13457,58.01
20250805,500463,9790,100.0
20250805,500464,926,97.27
20250805,500467,1854,84.04
20250805,500469,91915,52.25
20250805,500470,415616,43.73
20250805,500472,292,68.87
20250805,500477,333361,80.74
