TradDt,BizDt,Sgmt,Src,FinInstrmTp,SC_CODE,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DELIV_PER,DELIV_QTY
2025-11-11,2025-11-11,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5018.9,5018.9,4943.0,4976.7,4984.0,4993.15,,4978.4,,,8195,40735971.0,1835,F1,1,,,,,,55.0,4507
2025-11-11,2025-11-11,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,777.0,790.25,767.5,780.1,780.0,770.35,,780.05,,,49350,38347726.0,2602,F1,1,,,,,,50.02,24685
2025-11-11,2025-11-11,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,963.4,972.3,958.45,960.8,961.4,963.35,,960.6,,,16708,16087415.0,1201,F1,1,,,,,,60.81,10160
2025-11-11,2025-11-11,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.14,32.49,30.2,31.13,31.13,32.08,,31.13,,,69074,2168528.0,262,F1,1,,,,,,69.7,48148
2025-11-11,2025-11-11,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,52.85,52.85,51.16,51.24,51.25,52.14,,51.24,,,94463,4894360.0,498,F1,1,,,,,,87.76,82902
2025-11-11,2025-11-11,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.15,4.15,4.02,4.02,4.02,4.1,,4.0,,,632,2557.0,8,F1,1,,,,,,100.0,632
2025-11-11,2025-11-11,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.36,5.5,5.3,5.34,5.31,5.37,,5.34,,,23355,125234.0,85,F1,1,,,,,,89.47,20895
2025-11-11,2025-11-11,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.13,8.39,8.13,8.35,8.14,8.08,,8.35,,,1707,14282.0,26,F1,1,,,,,,98.54,1682
2025-11-11,2025-11-11,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,154.15,155.35,152.65,154.05,154.4,155.65,,154.1,,,33680,5185559.0,383,F1,1,,,,,,42.42,14286
2025-11-11,2025-11-11,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,355.0,355.0,317.6,320.1,318.2,326.2,,318.5,,,526,168113.0,84,F1,1,,,,,,80.23,422
2025-11-11,2025-11-11,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5763.05,5799.9,5700.0,5754.95,5754.95,5715.15,,5756.9,,,1596,9193746.0,503,F1,1,,,,,,57.27,914
2025-11-11,2025-11-11,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,30.6,31.8,29.59,30.02,29.59,30.08,,30.02,,,7146,215323.0,120,F1,1,,,,,,82.58,5901
2025-11-11,2025-11-11,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,500.05,507.8,496.55,506.15,506.85,500.75,,505.55,,,15855,7976936.0,904,F1,1,,,,,,65.11,10323
2025-11-11,2025-11-11,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,21.55,21.55,21.13,21.21,21.21,21.53,,21.2,,,160004,3395756.0,737,F1,1,,,,,,58.46,93534
2025-11-11,2025-11-11,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18248.85,18248.85,17473.65,17542.0,17516.05,18146.45,,17554.65,,,4586,81379962.0,1400,F1,1,,,,,,35.32,1620
2025-11-11,2025-11-11,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1042.05,1044.65,997.0,1005.35,1005.35,1085.4,,1005.2,,,1101846,1112816356.0,38181,F1,1,,,,,,47.62,524688
2025-11-11,2025-11-11,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,460.55,460.55,446.85,453.9,451.65,461.35,,454.2,,,35786,16187766.0,1672,F1,1,,,,,,49.63,17761
2025-11-11,2025-11-11,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,791.75,840.0,785.0,809.6,809.6,802.05,,807.55,,,137224,112058172.0,5004,F1,1,,,,,,36.77,50461
2025-11-11,2025-11-11,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1712.6,1758.5,1712.6,1753.25,1753.1,1732.1,,1753.2,,,4989,8644398.0,583,F1,1,,,,,,54.98,2743
2025-11-11,2025-11-11,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3659.0,3659.0,3625.0,3625.0,3625.0,3659.0,,3603.2,,,3,10943.0,3,F1,1,,,,,,100.0,3
2025-11-11,2025-11-11,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4495.05,4523.85,4479.85,4495.6,4492.85,4500.5,,4497.75,,,559,2514398.0,165,F1,1,,,,,,58.86,329
2025-11-11,2025-11-11,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1046.15,1050.7,1043.6,1047.4,1048.8,1049.3,,1046.9,,,2968,3108750.0,281,F1,1,,,,,,63.07,1872
2025-11-11,2025-11-11,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,2008.0,2040.0,1996.3,2017.2,2017.2,2007.75,,2018.05,,,21038,42369255.0,1941,F1,1,,,,,,41.93,8821
2025-11-11,2025-11-11,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,419.55,428.0,417.45,427.2,427.2,416.7,,427.3,,,890313,377884355.0,11221,F1,1,,,,,,49.89,444179
2025-11-11,2025-11-11,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,96.28,96.86,94.96,96.62,96.5,95.73,,96.03,,,24899,2377548.0,255,F1,1,,,,,,90.05,22421
2025-11-11,2025-11-11,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,13.01,13.01,12.3,12.56,12.59,12.76,,12.56,,,24037,299455.0,111,F1,1,,,,,,83.96,20181
