TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-09-12,2025-09-12,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5248.85,5252.0,5202.3,5245.65,5245.65,5217.55,,5248.5,,,3478,18179285.0,719,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,714.55,715.35,700.05,702.15,702.15,714.5,,702.25,,,5489,3869020.0,373,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1043.55,1057.0,1026.0,1029.45,1030.55,1051.35,,1029.45,,,32876,34218079.0,1737,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,32.24,32.24,31.1,31.51,31.64,31.89,,31.51,,,55945,1771724.0,313,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,52.74,59.55,52.74,56.84,56.84,51.18,,56.84,,,779861,44309232.0,3579,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,5.17,5.17,5.03,5.06,5.06,5.08,,5.11,,,15885,81994.0,19,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.42,5.42,5.21,5.32,5.27,5.31,,5.32,,,10623,56442.0,70,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.7,8.88,8.35,8.5,8.5,8.57,,8.5,,,10415,90927.0,39,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,188.25,189.5,183.05,183.55,183.25,188.75,,183.63,,,81646,15168413.0,1379,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,331.3,331.5,321.25,323.0,323.0,338.15,,320.4,,,654,211225.0,61,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6450.05,6472.0,6326.0,6399.05,6413.9,6420.8,,6392.0,,,382,2438225.0,139,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,36.05,37.29,36.05,36.42,36.48,36.23,,36.42,,,14396,529448.0,156,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,580.0,593.5,580.0,588.2,588.2,585.85,,587.85,,,8871,5206398.0,1291,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,20.88,21.04,20.75,20.91,20.91,20.81,,20.91,,,677640,14127747.0,1972,F1,1,,,,,
2025-09-12,2025-09-12,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18103.85,18525.0,17842.9,18404.6,18404.6,18018.85,,18392.0,,,4198,76607646.0,1661,F1,1,,,,,
