DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2026-08-05,JISLDVREQS,IN9175A01010,NSE,22.64,62.96,105049.6,2588.6169230769233,False,88.364,80.89,73.06530303030304,495932.546,355628.37909090915,444235.3621212122,5357.025896431465,3715.978351721429,3276.121822241861
2026-04-01,FELDVR,IN9623B01058,BSE,2.67,0.0,0.0,64.875,False,0.0,0.0,0.0,0.0,0.0,0.0,64.875,64.875,64.875
2025-12-11,SOLARAPP1,IN9624Z01022,BSE,420.0,60.34,29400.0,12319.25,False,60.34,60.34,60.34,29400.0,29400.0,29400.0,12319.25,12319.25,12319.25
2026-08-05,KRBL,INE001B01026,NSE,374.9,39.78,44537370.199999996,15090.311576189197,False,43.54600000000001,51.280909090909084,48.91060606060605,63045206.57000001,57764293.720454544,77030671.25454545,12838.866259200124,12578.57433238489,13292.233431297122
2026-08-05,PREMCO,INE001E01012,NSE,384.05,79.49,120591.7,3528.9081395348835,True,91.446,84.5740909090909,81.8487878787879,299893.2,152626.8727272727,317548.8424242424,5330.760259557521,3874.419171067822,4261.930518363752
2026-08-05,MDRNSTL,INE001F01019,BSE,13.17,0.0,0.0,1141.9166666666667,True,69.15799999999999,78.22909090909091,74.4789393939394,36239.831999999995,26481.717272727274,32452.510757575757,1478.7309126984126,963.1394873535914,1081.2189315685603
2026-08-05,RISAINTL,INE001O01029,BSE,0.41,0.0,0.0,1043.2272727272727,True,80.97,85.98954545454545,77.62742424242424,22042.627999999997,22509.730909090908,35160.26045454545,438.85348725348723,528.8553449197556,667.8024496829677
2026-08-05,RELIANCE,INE002A01018,NSE,1280.0,68.09,21633593600.0,89492.18516733617,False,56.9,55.78136363636365,53.46787878787879,6977977620.820002,8307372150.004544,10961698274.598482,68473.89903631003,69421.21111719788,80907.80573062424
2026-03-09,SOFTSOL,INE002B01016,BSE,207.1,100.0,207.1,207.0,True,58.5,78.47363636363637,72.68287878787878,88898.85,91333.825,68614.38030303031,7214.4989393939395,4907.985586036217,4505.464805979031
2026-08-05,MADALA,INE002B01016,BSE,196.9,0.0,0.0,1416.4,True,81.74799999999999,76.87090909090908,71.60954545454545,76395.09,83673.92272727271,71006.35151515152,2529.398382352941,4309.957451016418,4642.362046625424
2026-08-05,SAPL,INE002E01010,BSE,3751.55,0.0,0.0,14068.375,True,67.716,70.18136363636364,75.93848484848486,476716.15,197253.9090909091,97800.16742424242,19243.62434057971,13354.11311534966,12154.544692968744
2026-08-05,SJVN,INE002L01015,NSE,69.11,42.26,46057668.4,8706.058502276539,False,47.126,47.87772727272727,43.6480303030303,72429440.49000001,60623130.386363626,84742839.89439395,9133.48076025297,8734.896018685567,10502.159152939576
2026-08-05,MGL,INE002S01010,NSE,1115.1,51.43,60479678.699999996,9890.292246437552,False,44.748000000000005,49.04909090909091,48.58348484848485,257160387.38000003,108688051.49545455,122555176.27348487,17526.91491054448,12720.135989775476,14302.823503155656
2026-08-05,SIEMENS,INE003A01024,NSE,3980.0,42.11,595945300.0,50649.0220787536,False,32.39,37.79454545454545,37.94257575757576,651930808.72,500205256.00454545,609891282.7772727,52169.59368009656,45116.75599269175,47429.197628713264
2026-08-05,INTSTOIL,INE003B01014,BSE,39.0,0.0,0.0,1299.5714285714287,True,83.142,81.21818181818182,74.32772727272727,50384.626000000004,41278.11954545454,108815.49742424242,1772.3918802496978,1486.722232613678,2686.9211073201354
2026-08-03,MULLER,INE003F01015,BSE,218.0,100.0,13298.0,4432.666666666667,True,89.764,79.98727272727272,84.44303030303028,11902.36,6711.156818181818,6185.400757575758,2734.75,1597.6805735930736,1308.0647543043376
2026-08-05,PROTEAN,INE004A01022,NSE,571.9,52.65,343309854.3,21533.090727017498,False,48.717999999999996,48.15272727272727,44.65030303030302,73935980.52000001,77726745.34545456,102652226.44393939,18587.3306386713,17552.733911613213,17554.044941409004
2026-08-05,GUJCOTEX,INE004C01028,BSE,2.71,0.0,0.0,1819.8425196850394,True,100.0,100.0,90.9090909090909,686984.6460000001,1183803.778181818,4140129.283787879,2631.5555747544036,3593.4046351632687,7819.631720235301
2026-05-05,GUJCOT-RE,INE004C20010,BSE,0.24,100.0,470779.44,1223.5854922279793,True,100.0,100.0,100.0,299454.262,167647.86933333334,167647.86933333334,1049.6774553089958,882.9080107116004,882.9080107116004
2026-07-31,MACH,INE004Z01011,BSE,83.0,100.0,124500.0,124500.0,True,100.0,85.35363636363637,90.40520833333333,377352.0,322305.0,359412.1875,127643.25,132455.48295454544,133553.74871222526
2026-08-05,AVANTEL,INE005B01027,NSE,164.94,37.65,39895192.38,16683.315967665985,False,43.2,39.846363636363634,36.90348484848485,47623407.264,185591334.58409092,171395474.88833332,14687.500215656692,20150.966887275867,20189.46287927337
2026-08-05,RTSPOWR,INE005C01017,BSE,103.6,0.0,0.0,3073.157894736842,False,69.49600000000001,77.61999999999999,72.05651515151516,219043.2,251431.33409090908,446303.2668181818,5437.79475459549,5578.081109670548,7610.368025449321
2026-08-05,EKANSH,INE005E01013,BSE,232.05,0.0,0.0,21428.0,True,77.49600000000001,79.19272727272727,77.06045454545456,6189205.79,2579559.9613636364,1976781.1022727273,95212.93755903187,36774.284276362945,33940.83361425865
2026-03-27,DDIL,INE005G01026,BSE,1.99,84.65,3161389.62,1999.379550321199,True,79.03,73.07545454545455,78.53757575757575,5143205.196,6828004.713181818,12192147.613181818,3453.4473759128923,4117.15443157982,5774.7838215713755
2026-08-05,DEEPAI,INE005G01026,BSE,2.0,0.0,0.0,1957.2894211576847,True,100.0,100.0,76.30136363636365,948517.542,773335.6627272726,927424.9393939395,1957.1925588647396,1641.5413335066091,1849.6497966951833
2025-09-18,DEEP-RE,INE005G20018,BSE,0.12,100.0,207428.88,337.65,True,100.0,100.0,100.0,726068.848,643733.8771428572,643733.8771428572,572.560156608233,564.1682977514926,564.1682977514926
2026-08-05,AMDIND,INE005I01014,NSE,46.68,73.51,439072.08,3038.3477889447236,False,69.572,57.961818181818174,58.87499999999999,237953.25,492662.9445454546,435384.68500000006,2527.957552784515,3084.686402259827,3017.4990686032515
2026-08-05,KZLFIN,INE006C01015,BSE,16.31,0.0,0.0,315.6666666666667,True,82.5,90.50045454545453,92.02530303030304,3845.814,2818.012272727273,13379.56015151515,1434.4933333333333,964.8882460973368,1268.658524640343
2026-08-05,NBFOOT,INE006F01018,BSE,6.41,0.0,0.0,6800.096385542169,True,100.0,100.0,92.42424242424242,46902.2,81321.90909090909,61126.181818181816,4402.373913043479,5945.175934876759,6016.092927848529
2026-08-05,ASTRAL,INE006I01046,NSE,1434.7,53.72,399320051.0,22297.728942849393,False,41.38000000000001,44.01772727272728,45.32348484848485,250162983.42,351505537.27272725,459463748.5409091,22069.767504172887,25410.95950998024,28232.91807770012
2026-08-05,ARVEE,INE006Z01016,NSE,155.06,65.2,25274.78,1717.013043478261,True,62.388,65.8309090909091,65.12545454545455,84306.65,83976.19045454545,157009.55469696972,2886.0502611511292,3259.4336026667397,3827.4059332720585
2026-08-05,CRISIL,INE007A01025,NSE,4475.6,58.92,225547862.00000003,24976.353244779275,False,52.422000000000004,52.17545454545454,55.95090909090909,93673472.82,172675437.56363636,140497775.91818184,19590.219363134976,21469.928655180385,20618.226967731305
2026-08-05,GEOJITFSL,INE007B01023,NSE,76.95,53.95,9324031.5,4227.221576390576,False,54.102,53.48409090909092,51.94560606060607,11237266.379999999,15678766.55136364,16666898.063636364,6641.255193379364,7064.194981297957,8291.18123225194
2026-08-05,INDRANIB,INE007C01021,BSE,8.23,0.0,0.0,6390.722513089006,True,90.476,92.32727272727271,88.35151515151514,310175.344,227159.45863636362,614732.8783333334,2507.6099569333664,2649.6889361091544,7369.564678124816
2026-07-28,MHSGRMS,INE007G01014,BSE,5.88,100.0,2352.0,1153.0,True,100.0,86.36363636363636,95.45454545454545,2601.2,3548.5454545454545,4692.787878787879,760.8833333333333,1337.9724747474747,1998.338011063011
2026-08-05,FEDFINA,INE007N01010,NSE,149.31,54.15,49196450.52,10998.481106290672,False,51.358000000000004,46.69681818181818,49.921515151515145,80229602.25000001,126046592.34636363,119536433.02333334,10149.626354193848,13022.59895149974,12904.29818931753
2026-03-11,FFSLGSEC26,INE007N07033,BSE,129000.0,100.0,61920000.0,15480000.0,True,100.0,100.0,100.0,14179000.0,14179000.0,14179000.0,7089500.0,7089500.0,7089500.0
2026-06-24,9FFSL30,INE007N08023,BSE,99739.72,100.0,199479.44,199479.0,True,100.0,97.52045454545454,97.52045454545454,399715.07,408932.6227272727,408932.6227272727,330007.5,293709.902892562,293709.902892562
2026-08-05,IDBI,INE008A01015,NSE,84.32,38.46,86300086.55999999,17358.66086178987,False,43.074,34.300909090909094,34.170454545454554,162699956.764,285811392.75136364,324362987.5939394,21030.00615178742,25076.497396223593,23982.145872057612
2026-08-05,AIMCOPEST,INE008B01013,BSE,48.99,0.0,0.0,6626.5675675675675,True,77.626,79.32272727272726,70.37106060606061,64988.06999999999,82002.11681818184,135053.87439393942,2425.1823304281925,2650.88667523492,3533.125496349727
2026-08-05,RAYALEMA,INE008C01011,BSE,29.13,0.0,0.0,1160.3,True,82.98799999999999,87.01090909090908,74.67166666666665,30170.340000000004,39899.439545454545,29306.673787878786,1133.1155555555556,1573.0784937490666,1762.2382373541288
2026-08-05,TIRTPLS,INE008N01018,BSE,26.0,0.0,0.0,3610.128205128205,True,91.162,89.08818181818182,83.89757575757575,81999.48000000001,122533.00181818182,110411.40015151515,2148.7743315508023,3040.6952637515365,2799.4499357805594
2026-08-05,INFY,INE009A01021,NSE,1174.0,52.05,6088412134.0,88035.24770121029,False,53.23199999999999,52.267727272727264,52.863636363636374,11291770460.32,8549202769.209091,9073382277.509092,71092.74593945453,63577.48547898659,64575.33095952622
2026-08-05,SRIKPRIND,INE009C01019,BSE,20.75,0.0,0.0,3483.1923076923076,True,68.14,77.22818181818182,69.25484848484848,41183.536,32401.158636363634,83622.46166666667,1380.6480209353538,1377.5623398058422,1877.4101904328481
2026-07-10,GHUSHINE,INE009U01011,BSE,21.5,100.0,107500.0,107500.0,True,60.0,68.18181818181819,78.125,51260.0,256840.9090909091,358162.5,80433.33333333334,161079.2803030303,163541.78199404763
2026-08-05,TREJHARA,INE00CA01015,NSE,150.79,41.15,13193371.049999999,32066.085317860747,False,80.11600000000001,72.95818181818183,61.97227272727273,1263859.9479999999,1818469.340454545,1779904.2472727273,3286.401851237999,5506.672787115392,5044.657736941697
2026-06-10,SVLL,INE00CE01017,NSE,740.05,37.34,2858073.0999999996,8589.41049723757,True,47.034000000000006,56.23181818181818,63.4359090909091,10126678.05,3344600.0863636364,1377981.1606060604,17739.515796812113,10967.140293801418,10804.345665865014
2026-08-05,MAHIP,INE00CX01017,BSE,16.61,0.0,0.0,66440.0,True,100.0,95.45454545454545,90.9090909090909,1962072.0,853538.1818181818,674668.4848484849,159537.91711229944,138976.66081556588,127058.90493359878
2026-08-05,BIKAJI,INE00E101023,NSE,650.3,46.87,45076194.8,11824.119749541846,False,51.876,58.55,54.05045454545455,20556714.05,42997250.26136363,55104580.2030303,5455.759050453926,7355.107196707028,10630.13032170365
2026-08-05,MEGASTAR,INE00EM01016,NSE,330.35,46.47,727100.3500000001,5089.397557003257,False,47.286,41.646818181818176,46.45378787878788,847474.86,4022878.2568181814,7456574.038636363,4720.348095690464,9045.552624926984,13353.939967627435
2026-08-05,HARIOMPIPE,INE00EV01017,NSE,405.55,43.91,19528043.6,13907.137546933667,False,46.096000000000004,40.274090909090916,40.836666666666666,21443703.249999996,28709344.83409091,50756216.52424243,14595.528667922117,13841.818744020267,15298.004159228642
2026-08-05,PRUDENT,INE00F201020,NSE,3335.6,50.73,36017808.8,11568.26275435455,False,45.54600000000001,53.095909090909096,57.59257575757575,69549749.53999999,53774676.90909091,54253889.7590909,16302.084881414869,13200.053495105456,15948.700843553483
2026-08-05,ACUTAAS,INE00FF01025,NSE,3282.8,49.98,366048614.0,29022.119586316625,False,48.188,47.526818181818186,45.55272727272727,780033848.2,657254699.8909091,686849651.9424242,35768.13166180988,35144.46769015685,34732.84816476977
2026-08-05,BAPACK,INE00FM01013,BSE,202.05,0.0,0.0,6126.516666666666,True,91.92,75.54181818181817,76.92545454545454,24727.129999999997,84810.89318181819,48258.3356060606,3104.5114845938374,7732.568844770604,4171.7819330215125
2026-08-05,YASHHV,INE00GK01023,BSE,1003.7,0.0,0.0,287131.57924528304,False,58.745999999999995,63.80681818181818,57.85636363636364,56957857.5,63271101.70454545,71830031.25,255004.62070431886,272415.0126154244,250637.31879267909
2026-08-05,SWIGGY,INE00H001014,NSE,289.9,27.75,729795129.6999999,52811.68967786526,False,31.688,35.54272727272728,40.07333333333333,3854972572.8199997,2597969884.1304545,1682243952.1733336,52774.041211555,45061.7285119177,42724.71618297431
2025-09-10,BNHOLDINGS,INE00HZ01011,BSE,355.45,75.82,784833.6,8326.444444444445,False,75.30800000000002,65.96045454545455,66.06,2193145.84,2620327.954545454,2466010.4080000003,25846.858506521636,25893.413290101398,24953.528126073597
2026-05-18,BNAGROCHEM,INE00HZ01011,NSE,282.57,62.71,228599.13,3424.451100917431,True,71.44800000000001,63.95454545454545,67.6260606060606,1634575.0380000002,1014599.2140909093,688434.6903030302,7221.569890148183,7646.1314457544095,8906.518468296796
2026-08-05,OSWALSEEDS,INE00IK01029,NSE,10.58,92.1,273958.52,2566.0542241379308,True,79.22399999999999,79.71636363636364,79.48515151515153,282285.568,378066.04000000004,543228.1340909092,2463.7001068115387,2784.433732306025,3055.279784380029
