run_date,total_bse_rows,zero_delivery,partial_delivery,full_delivery
2026-07-25 20:13:17,1142294,402893,532149,207252
2026-07-26 20:02:55,1142294,402893,532149,207252
2026-07-26 20:10:39,1142294,402893,532149,207252
2026-07-26 20:21:19,1142294,402893,532149,207252
2026-07-26 20:58:59,1142294,402893,532149,207252
2026-07-26 22:30:09,1142294,78542,761327,302425
2026-07-26 22:37:36,1142294,78542,761327,302425
2026-07-27 11:18:40,1142294,78542,761327,302425
2026-07-27 11:24:05,1142294,78542,761327,302425
2026-07-27 11:29:08,1142294,78542,761327,302425
2026-07-27 11:31:54,1142294,78542,761327,302425
2026-07-27 13:20:52,1142294,78542,761327,302425
2026-07-27 19:18:33,1147339,78545,764670,304124
2026-07-27 19:51:36,1147339,78545,764670,304124
2026-07-27 20:14:14,1147339,78545,764670,304124
2026-07-27 21:27:27,1147339,78545,764670,304124
2026-07-28 11:32:42,1147339,78545,764670,304124
2026-07-29 16:33:48,1157057,83392,767958,305707
2026-07-30 13:56:40,1157057,78552,771266,307239
2026-07-30 20:05:29,1166339,78561,777773,310005
2026-08-01 18:38:50,1171226,78564,781052,311610
2026-08-01 20:13:40,1171226,78564,781052,311610
2026-08-01 20:21:21,1171226,78564,781052,311610
2026-08-02 13:25:13,1171226,78564,781052,311610
2026-08-03 18:31:38,1176307,83645,781052,311610
2026-08-03 19:50:05,1176307,83645,781052,311610
2026-08-04 14:16:52,1176307,78565,784484,313258
2026-08-04 18:30:40,1181235,83493,784484,313258
2026-08-04 19:59:55,1181235,83493,784484,313258
2026-08-04 20:22:40,1181235,83493,784484,313258
2026-08-05 18:31:32,1186168,83500,787811,314857
2026-08-05 19:42:01,1186168,78572,791188,316408
2026-08-06 19:48:41,1191130,78575,794550,318005
2026-08-06 20:27:46,1191130,78575,794550,318005
2026-08-07 18:30:50,1196069,83514,794550,318005
2026-08-09 17:59:37,1196069,78577,797878,319614
2026-08-10 15:23:36,1196069,78577,797878,319614
2026-08-10 18:31:10,1201206,83714,797878,319614
2026-08-11 18:30:53,1206193,83568,801298,321327
2026-08-12 18:30:59,1211141,83531,804747,322863
2026-08-12 21:47:18,1211141,83531,804747,322863
2026-08-12 21:49:57,1211141,83531,804747,322863
2026-08-12 21:52:47,1211141,83531,804747,322863
2026-08-13 12:48:09,1211141,78586,808194,324361
2026-08-13 13:03:08,1211141,78586,808194,324361
2026-08-13 18:30:32,1216113,83558,808194,324361
2026-08-14 14:50:02,1216113,78592,811623,325898
2026-08-14 18:30:50,1221025,83504,811623,325898
2026-08-15 18:30:47,1221025,78595,815010,327420
2026-08-16 18:30:48,1221025,78595,815010,327420
2026-08-18 18:31:04,1231096,83524,818513,329059
2026-08-18 20:44:12,1231096,83524,818513,329059
2026-08-19 19:21:47,1236020,78601,825377,332042
2026-08-20 19:16:53,1241020,78601,828832,333587
2026-08-21 19:16:46,1246018,78603,832286,335129
2026-08-24 20:14:14,1251151,78605,835830,336716
2026-08-25 20:10:54,1256109,78607,839284,338218
2026-08-25 21:01:16,1256109,78607,839284,338218
2026-08-25 21:56:38,1256109,78607,839284,338218
