ticker,trigger_date,engine,market_cap_class,raw_status,return_pct,outcome_tag,market_cap_cr,bse_scrip,sector_type,op_lev_ratio,roice_pct,interest_coverage_trend_numeric,rpt_pct_mcap,_data_confidence
ASHIKA,2026-07-20,SBIA_ALPHA,M,HIT_TP,9.382051511104883,WINNER,2952.2176,543766.0,financial,,6.6,-1.0,,estimated_pit
SMCGLOBAL,2026-08-05,SBIA_ALPHA,M,MOMENTUM_LOST,0.7644117631874271,LOSER,1702.422016,543263.0,unknown,-0.2275056073663086,7.3,-1.0,,estimated_pit
ETERNAL,2026-07-15,SBIA_ALPHA,L,HIT_SL,-5.8780797562947305,LOSER,297104.0743424,543320.0,unknown,1.0151687236645905,15.5,0.0,,estimated_pit
ETERNAL,2026-07-14,SBIA_ALPHA,L,HIT_TP,11.27281164446168,WINNER,297104.0743424,543320.0,unknown,1.0151687236645905,15.5,0.0,,estimated_pit
RECLTD,2026-08-13,SBIA_ALPHA,L,MOMENTUM_LOST,-1.8698309992258029,LOSER,83920.846848,532955.0,financial,-2.257237319908134,4.3,-1.0,,estimated_pit
STYLEBAAZA,2026-08-11,SBIA_ALPHA,M,HIT_TP,15.164804043765498,WINNER,3038.985216,544243.0,unknown,1.0137235064841172,21.2,1.0,,estimated_pit
SUDARSCHEM,2026-08-06,SBIA_ALPHA,M,HIT_SL,-7.426495893600346,LOSER,9732.026368,506655.0,unknown,0.36975623582766437,9.1,-1.0,,estimated_pit
JPOLYINVST,2026-08-13,SBIA_ALPHA,M,HIT_SL,-6.059099866548902,LOSER,1059.602432,536773.0,unknown,0.8736318407960199,,,,estimated_pit
MANORAMA,2026-07-06,SBIA_ALPHA,L,HIT_TP,13.907700557001048,WINNER,12478.6655232,541974.0,unknown,1.1369758400444323,,1.0,,estimated_pit
MANORAMA,2026-07-01,SBIA_ALPHA,L,HIT_TP,14.285716514291424,WINNER,12478.6655232,541974.0,unknown,1.1369758400444323,,1.0,,estimated_pit
PAYTM,2026-08-07,SBIA_ALPHA,L,HIT_TP,13.255114558318471,WINNER,106396.0444928,543396.0,unknown,,72.5,1.0,,estimated_pit
