symbol,entry_date,entry_price,exit_date,exit_price,days_held,return_pct
SBICARD,2023-01-11,782.1,2023-01-20,770.0,9,-2.038765822784795
NESTLEIND,2023-01-16,19840.0,2023-01-30,19206.0,14,-3.6789816658266092
RECLTD,2023-02-08,121.25,2023-02-22,113.0,14,-7.269520618556695
ICICIPRULI,2023-02-15,434.55,2023-02-23,408.55,8,-6.452697402485325
POONAWALLA,2023-01-30,289.0,2023-02-24,300.0,25,3.2878460207612448
TVSMOTOR,2023-02-08,1045.0,2023-03-13,1067.0,33,1.5953749999999962
HINDUNILVR,2023-06-05,2716.45,2023-07-21,2650.0,46,-2.933366618196527
KEI,2023-07-05,2347.95,2023-08-01,2300.0,27,-2.5313837603015203
POWERGRID,2023-07-14,243.0,2023-08-04,248.0,21,1.5479629629629545
NAUKRI,2023-07-19,4700.0,2023-08-11,4660.0,23,-1.346188829787232
JKCEMENT,2023-07-26,3255.0,2023-08-16,3135.0,21,-4.167600806451611
PIIND,2023-08-23,3701.9,2023-09-21,3500.0,29,-5.926095383451728
BHARATFORG,2023-08-04,911.0,2023-10-20,1090.0,77,19.051241767288694
NTPC,2023-07-17,188.45,2023-10-25,236.0,100,24.606778986468594
BHARTIARTL,2023-04-07,762.6,2023-10-26,921.65,202,20.25275508949644
SUNPHARMA,2023-10-16,1141.5,2023-10-31,1119.45,15,-2.4213975854138967
MARUTI,2023-11-08,10320.0,2023-12-15,10459.0,37,0.8407981468023585
FLUOROCHEM,2023-10-23,2761.0,2024-01-09,3517.0,78,26.745272772546187
ASIANPAINT,2023-11-03,2957.0,2024-01-17,3294.1,75,10.843763548359847
3MINDIA,2023-10-18,30785.0,2024-01-18,34339.0,92,10.987557637648218
INDUSINDBK,2023-07-19,1430.0,2024-01-19,1622.7,184,12.908856075174832
PIDILITIND,2023-11-17,2468.85,2024-01-23,2674.9,67,7.804938255665626
INDIGO,2023-12-13,2963.95,2024-01-23,3068.0,41,2.993612409116227
HINDALCO,2024-01-10,576.0,2024-01-23,558.0,13,-3.608769531249993
AXISBANK,2024-01-19,1107.15,2024-01-25,1058.0,6,-4.916532312694762
ASIANPAINT,2024-01-19,3177.8,2024-01-25,3010.05,6,-5.75182318545847
BALKRISIND,2024-01-22,2650.5,2024-02-05,2458.9,14,-7.692100806451599
FEDERALBNK,2024-01-25,142.6,2024-02-26,152.5,32,6.40845240182331
LTTS,2023-11-09,4285.0,2024-03-05,5274.0,117,22.46588010501753
INFY,2024-02-28,1670.0,2024-03-19,1592.35,20,-5.125856156437135
BRITANNIA,2024-02-26,4949.95,2024-04-16,4748.0,50,-4.558840493338313
SHRIRAMFIN,2023-10-12,1908.55,2024-04-18,2419.9,189,26.159420731707346
BOSCHLTD,2023-10-26,19503.05,2024-04-22,29985.95,179,52.9822651441057
M&MFIN,2024-03-21,263.9,2024-04-22,286.75,32,8.115968998673754
PFC,2024-04-10,403.0,2024-05-07,440.0,27,8.635918114143914
LT,2024-05-06,3522.8,2024-05-09,3312.75,3,-6.432185912129566
BAJAJHLDNG,2024-04-12,8187.95,2024-05-27,8001.0,45,-2.771206391709757
COLPAL,2023-10-09,1972.0,2024-05-30,2663.05,234,34.36873195043106
DMART,2024-03-29,4424.95,2024-05-30,4475.9,62,0.6463005090453177
NAVINFLUOR,2024-03-01,3021.1,2024-06-04,3250.0,95,7.039499271788424
SANOFI,2024-06-05,8599.95,2024-06-28,6670.0,23,-22.828717754172988
ESCORTS,2024-03-06,2865.75,2024-07-11,4075.0,127,41.48653820989271
SIEMENS,2024-07-17,7660.0,2024-07-19,7125.75,2,-7.439088956429502
TEJASNET,2024-07-03,1436.0,2024-07-23,1321.9,20,-8.405378699512523
NAVINFLUOR,2024-07-03,3631.6,2024-08-05,3515.0,33,-3.69404756168079
BSE,2024-07-18,2365.0,2024-08-06,2435.35,19,2.460400462473572
COFORGE,2024-05-08,4445.0,2024-08-13,5875.0,97,31.51094980314963
BANKINDIA,2024-07-12,122.0,2024-08-13,118.09,32,-3.6882884733606423
AZAD,2024-07-29,1623.3,2024-09-02,1560.7,35,-4.336459411384189
VEDL,2024-09-06,467.9,2024-09-11,440.0,5,-6.432410771532352
POWERGRID,2024-09-03,336.0,2024-10-03,343.0,30,1.573554687500003
LT,2024-09-12,3558.0,2024-10-03,3582.5,21,0.1857754532040539
EICHERMOT,2024-08-05,4612.15,2024-10-04,4782.0,60,3.1648989625229205
OLECTRA,2024-09-05,1567.7,2024-10-07,1651.95,32,4.847902958952618
ASHOKLEY,2024-09-25,237.3,2024-10-07,225.39,12,-5.493274889380537
BRITANNIA,2024-06-10,5465.0,2024-10-10,6127.0,122,11.553582685269905
HAVELLS,2024-10-02,2020.0,2024-10-17,1945.0,15,-4.193705136138594
HDFCLIFE,2024-09-09,735.1,2024-10-21,745.85,42,0.9557082794857806
PERSISTENT,2024-10-03,5401.1,2024-10-21,5247.65,18,-3.3262752437003664
KOTAKBANK,2024-10-04,1815.5,2024-10-21,1789.2,17,-1.9407776094739748
ZYDUSLIFE,2024-10-04,1069.05,2024-10-21,1005.7,17,-6.39560491791776
SKFINDIA,2024-10-08,5163.3,2024-10-21,5305.3,13,2.237070441868578
MOTHERSON,2024-10-09,205.0,2024-10-21,199.37,12,-3.232001920731699
NAUKRI,2024-10-09,8310.0,2024-10-21,7949.35,12,-4.817654230595646
