LEDGER,SYMBOL,EXCHANGE,ENTRY_DATE,ENTRY_PRICE,CORRUPTION_EXPOSURE,CURR_PRICE,PCT_SINCE_ENTRY,ENTRY_AI_PROB,ENTRY_WHALE_DENSITY,ENTRY_IMPLIED_TRADES,CURR_DELIV_PER,CURR_DELIV_TURNOVER,CURR_ATW,CURR_WHALE_DENSITY_FG2,CURR_IMPLIED_TRADES,CURR_DELIV_PER_1M,CURR_DELIV_TURN_1M,CURR_DELIV_TURN_3M,FG2_P1_PASS,FG2_TRIPWIRE,FG2_SIGNAL_TODAY,IN_CURRENT_WATCHLIST,IN_FG2_ARCHIVE_10D,VERDICT,REASON
SBIA,STYLEBAAZA,NSE,2026-08-18,402.65,3M_OVERLAP,410.8,2.0,73.3,13.7,7289.0,55.4,615755514.0,95946.0,237.3,6418.0,57.1,418008907.0,212218713.0,True,False,False,True,False,KEEP,signal holds under repaired baselines
SBIA,JPOLYINVST,NSE,2026-08-19,987.7,3M_OVERLAP,1025.0,3.8,66.0,74.9,1335.0,38.7,8358875.0,13189.0,13.1,634.0,65.5,19087854.0,10050863.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today
SBIA,WONDERLA,NSE,2026-08-20,490.1,3M_OVERLAP,537.1,9.6,76.0,10.9,9182.0,45.3,48525911.0,11637.0,21.3,4170.0,60.8,61053360.0,29417642.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,PFIZER,NSE,2026-08-20,4920.0,3M_OVERLAP,4703.8,-4.4,73.3,12.9,7741.0,65.1,82213016.0,18663.0,4.0,4405.0,60.0,175556262.0,102305480.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,WINDMACHIN,NSE,2026-08-20,320.5,3M_OVERLAP,301.9,-5.8,68.6,46.1,2171.0,56.7,7209976.0,8384.0,27.7,860.0,56.0,34032113.0,23532538.0,False,False,False,False,False,CLOSE,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today
SBIA,STEELCAS,NSE,2026-08-20,358.7,3M_OVERLAP,342.3,-4.6,68.0,58.7,1703.0,60.3,10709882.0,10418.0,30.4,1028.0,54.5,25211819.0,18041561.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,CONSUMER,NSE,2026-08-21,12.28,3M_OVERLAP,12.23,-0.4,69.9,315.0,317.0,82.8,1179767.0,3748.0,305.8,315.0,77.6,5872469.0,3916792.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today
SBIA,BIL,NSE,2026-08-21,831.1,3M_OVERLAP,857.7,3.2,69.9,289.8,345.0,79.1,14715559.0,20293.0,23.4,725.0,79.3,7758384.0,4176540.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,ACESOFT,BSE,2026-08-21,169.5,3M_OVERLAP,190.1,12.2,69.9,291.0,344.0,100.0,7396031.0,37515.0,194.5,197.0,77.6,9262275.0,6050715.0,True,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,TIERRA,BSE,2026-08-24,41.92,3M_OVERLAP,43.52,3.8,81.2,1249.0,80.0,92.1,235139.0,5817.0,133.4,40.0,75.9,1638369.0,630128.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,PURSHOTTAM,BSE,2026-08-24,35.4,3M_OVERLAP,35.54,0.4,81.2,1737.3,58.0,100.0,3056.0,509.0,14.3,6.0,92.1,806947.0,482817.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,TIERRA,BSE,2026-08-20,43.86,3M_OVERLAP,43.52,-0.8,81.2,1249.0,80.0,92.1,235139.0,5817.0,133.4,40.0,75.9,1638369.0,630128.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,SHUKRAPHAR,NSE,2026-08-25,44.08,3M_OVERLAP,44.28,0.5,66.0,80.0,1249.0,54.0,21548773.0,23240.0,523.2,927.0,55.7,24274227.0,11567271.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,APTUS,NSE,2026-08-26,258.5,3M_OVERLAP,256.15,-0.9,82.5,7.1,14060.0,49.5,41145374.0,4989.0,19.5,8247.0,60.6,203710853.0,162859641.0,False,False,False,False,True,REVIEW,not in current SBIA Alpha watchlist
SBIA,SETL,NSE,2026-08-26,330.4,3M_OVERLAP,364.2,10.2,80.7,8.5,11715.0,69.8,202681670.0,61626.0,170.4,3289.0,57.7,190225766.0,150847686.0,True,False,False,True,True,KEEP,signal holds under repaired baselines
SBIA,PAYTM,NSE,2026-08-26,1716.0,3M_OVERLAP,1650.9,-3.8,72.7,1.9,52668.0,35.5,1075226217.0,71874.0,43.1,14960.0,44.6,3240821611.0,2007540236.0,False,False,False,True,False,KEEP,signal holds under repaired baselines
SBIA,NATFIT,BSE,2026-08-20,174.55,3M_OVERLAP,191.25,9.6,75.8,672.4,149.0,68.1,3632411.0,17385.0,92.7,209.0,88.7,4401375.0,2441191.0,False,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,ETERNAL,NSE,2026-08-27,328.5,3M_OVERLAP,328.0,-0.2,74.0,0.8,119169.0,69.0,7100102840.0,65600.0,200.3,108233.0,53.8,4684883580.0,4785701720.0,True,False,False,True,False,KEEP,signal holds under repaired baselines
SBIA,SPICELOUNG,BSE,2026-08-27,24.85,3M_OVERLAP,23.51,-5.4,68.3,97.0,1031.0,75.0,4029638.0,4697.0,197.2,858.0,71.9,5153843.0,2704084.0,False,False,False,False,False,CLOSE,not in current SBIA Alpha watchlist; delivery turnover below 1Cr sanity gate today; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
SBIA,LAURUSLABS,NSE,2026-08-27,1929.4,3M_OVERLAP,1938.5,0.5,61.8,2.0,51243.0,59.1,2557102489.0,75364.0,39.2,33930.0,56.4,2141295626.0,1918731001.0,True,False,False,False,False,REVIEW,not in current SBIA Alpha watchlist
SBIA,ASIANHOTNR,NSE,2026-08-28,315.95,3M_OVERLAP,315.95,-0.0,76.0,205.9,486.0,96.7,30217774.0,62218.0,198.3,486.0,56.1,8605575.0,6040208.0,True,True,False,True,False,KEEP,signal holds under repaired baselines
SBIA,GTPL,NSE,2026-08-28,53.54,3M_OVERLAP,53.54,-0.0,73.6,202.9,493.0,96.7,19862537.0,40309.0,746.7,493.0,69.1,3573174.0,2378155.0,True,True,False,True,False,KEEP,signal holds under repaired baselines
SBIA,DECCANCE,NSE,2026-08-26,577.15,3M_OVERLAP,568.75,-1.5,69.9,312.1,320.0,90.3,11828862.0,36913.0,64.5,320.0,64.0,9559090.0,6993586.0,True,True,False,True,False,KEEP,signal holds under repaired baselines
SBIA,KTKBANK,NSE,2026-08-14,309.65,3M_OVERLAP,330.35,6.7,65.6,8.0,12474.0,51.9,291002342.0,23328.0,71.1,12474.0,54.9,616176463.0,402251039.0,False,False,False,True,False,KEEP,signal holds under repaired baselines
SBIA,PRARUH,BSE,2026-08-28,94.92,3M_OVERLAP,99.66,5.0,81.2,1428.6,70.0,100.0,48833400.0,697620.0,7000.0,70.0,91.4,3155523.0,1735632.0,True,True,False,True,False,REVIEW,BSE entry with 3m overlap to corrupted window (pre-repair baselines)
FLEXGATE2,AIRFLOA,BSE,2026-08-21,423.1,3M_OVERLAP,467.65,10.5,72.8,599.1,275.0,48.6,60093025.0,438481.0,941.3,137.0,65.7,26664943.0,22635104.0,False,True,False,True,True,REVIEW,FlexGate-2 signal no longer holds under repaired baselines; BSE entry with 3m overlap to corrupted window (pre-repair baselines)
