symbol,entry_date,entry_price,exit_date,exit_price,return_pct,days_held,exit_reason,pnl,patch1_capped,YM
BFINVEST,2023-01-03,410.0,2023-01-04,461.9428571428571,12.10634878048779,1,TP,9827.933939999988,True,2023-01
BRIGADE,2022-12-30,475.4,2023-01-11,445.7214285714286,-6.711062854964224,12,SL,-6029.930241562484,True,2022-12
MAXVIL,2023-01-10,155.9,2023-01-19,140.6,-10.264349743425287,9,GAP_DOWN_SL,-5168.685163750008,True,2023-01
RKEC,2023-01-10,71.6,2023-01-23,64.44999999999999,-10.435540764664813,13,SL,-6485.563358750005,True,2023-01
TEAMLEASE,2022-12-28,2502.0,2023-01-25,2373.821428571429,-5.596836218525154,28,SL,-5461.280845312474,True,2022-12
ABBOTINDIA,2023-01-10,22319.0,2023-01-25,21430.307142857142,-4.461268217382049,15,SL,-1991.4209068749988,True,2023-01
MFSL,2023-01-31,837.1,2023-02-01,794.0928571428572,-5.611353967566586,1,SL,-3429.003016562492,True,2023-01
TATAMETALI,2023-01-18,832.2,2023-02-07,784.5928571428572,-6.191444777397244,20,SL,-2988.4617993749926,True,2023-01
EMAMILTD,2023-01-04,429.75,2023-02-08,409.4214285714286,-5.206077879581154,35,SL,-4273.265860312502,True,2023-01
ISEC,2023-01-06,500.15,2023-02-08,473.32142857142856,-5.836693054583635,33,SL,-4320.448606250007,True,2023-01
AHLUCONT,2023-01-24,510.0,2023-02-13,473.0571428571429,-7.706899264705874,20,SL,-4127.044556249995,True,2023-01
CRAFTSMAN,2023-01-31,3107.7,2023-02-16,3562.7999999999997,14.071765855777596,16,TP,7434.240547500005,True,2023-01
SRF,2023-02-22,2300.05,2023-02-27,2201.964285714286,-4.742582702006466,5,SL,-2836.1261093749927,True,2023-02
ISGEC,2023-03-08,464.0,2023-03-10,518.9857142857143,11.291816675646555,2,TP,2986.4596743750008,True,2023-03
DALBHARAT,2023-03-06,1867.0,2023-03-13,1760.0,-6.201874665238314,7,GAP_DOWN_SL,-2199.9909999999873,True,2023-03
