TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,SYMBOL,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW
2025-11-06,2025-11-06,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,218.5,218.5,207.06,208.31,208.0,216.05,,208.3,,,93455,19670735.04,2131,F1,1,,,,,,20MICRONS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,45.95,46.96,45.31,46.96,46.96,46.04,,47.09,,,45250,2117558.43,113,F1,1,,,,,,21STCENMGM,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1081.6,1084.1,1062.7,1068.2,1066.4,1079.1,,1068.2,,,396590,424300887.9,29512,F1,1,,,,,,360ONE,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,30105,INF579M01BB5,GOLD360,EQ,,,,,360ONEAMC - GOLD360,117.55,119.4,117.2,118.1,117.8,117.55,,118.1,,,11234,1325886.45,232,F1,1,,,,,,GOLD360,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,756150,INF579M01BC3,SILVER360,EQ,,,,,360ONEAMC - SILVER360,145.99,146.5,144.9,145.65,146.24,145.03,,145.66,,,26833,3902142.33,322,F1,1,,,,,,SILVER360,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,6232,INE748C01038,3IINFOLTD,EQ,,,,,3I INFOTECH LIMITED,17.34,17.35,16.97,17.05,16.98,17.27,,17.05,,,747570,12831315.99,2293,F1,1,,,,,,3IINFOLTD,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,474,INE470A01017,3MINDIA,EQ,,,,,3M INDIA LIMITED,35700.0,37000.0,35480.0,35790.0,35810.0,35885.0,,35788.0,,,53590,1935048600.0,25205,F1,1,,,,,,3MINDIA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,2595,INE105C01023,3PLAND,EQ,,,,,3P LAND HOLDINGS LIMITED,41.22,42.72,41.22,41.54,41.31,42.02,,41.67,,,4785,198789.25,70,F1,1,,,,,,3PLAND,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,445,INE618L01018,5PAISA,EQ,,,,,5PAISA CAPITAL LIMITED,308.0,308.25,305.0,306.3,306.0,309.05,,306.3,,,47928,14683698.75,1685,F1,1,,,,,,5PAISA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,11868,INE111B01023,63MOONS,EQ,,,,,63 MOONS TECHNOLOGIES LTD,785.0,796.05,765.2,770.8,773.0,791.75,,770.8,,,91523,71140876.75,3834,F1,1,,,,,,63MOONS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,759130,INE08PH01015,ABCOTS,EQ,,,,,A B COTSPIN INDIA LIMITED,421.7,431.95,416.6,420.4,422.0,422.5,,420.5,,,5224,2209407.6,304,F1,1,,,,,,ABCOTS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,27020,INE00YB01025,ABINFRA,EQ,,,,,A B INFRABUILD LIMITED,19.48,19.89,19.25,19.29,19.29,19.48,,19.29,,,116183,2244648.7,690,F1,1,,,,,,ABINFRA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,20906,INE619I01012,A2ZINFRA,EQ,,,,,A2Z INFRA ENGINEERING LTD,16.9,17.69,16.16,17.43,17.5,16.9,,17.43,,,620740,10650077.31,1427,F1,1,,,,,,A2ZINFRA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,23729,INE883F01010,AADHARHFC,EQ,,,,,AADHAR HOUSING FINANCE L,518.5,518.5,496.25,499.45,499.25,509.2,,499.45,,,427161,214269629.25,12970,F1,1,,,,,,AADHARHFC,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,235,INE087Z01024,AAKASH,EQ,,,,,AAKASH EXPLORATION SER L,9.17,9.17,8.9,8.95,8.9,9.04,,8.95,,,93102,836480.07,497,F1,1,,,,,,AAKASH,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,1030,INE721Z01010,AARON,EQ,,,,,AARON INDUSTRIES LIMITED,196.65,203.9,196.65,200.26,200.03,198.61,,200.26,,,21207,4253851.46,1499,F1,1,,,,,,AARON,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17145,INE01C001026,AARTECH,EQ,,,,,AARTECH SOLONICS LIMITED,54.52,55.51,53.07,53.45,53.45,54.51,,53.45,,,26581,1430842.76,656,F1,1,,,,,,AARTECH,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,4481,INE767A01016,AARTIDRUGS,EQ,,,,,AARTI DRUGS LTD.,504.4,505.2,486.3,488.9,487.1,503.6,,488.9,,,98582,48761794.5,4970,F1,1,,,,,,AARTIDRUGS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7,INE769A01020,AARTIIND,EQ,,,,,AARTI INDUSTRIES LTD,385.55,392.0,380.0,390.5,390.0,385.1,,390.5,,,959594,371247464.2,25369,F1,1,,,,,,AARTIIND,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,13868,INE0LRU01027,AARTIPHARM,EQ,,,,,AARTI PHARMALABS LIMITED,856.8,864.4,837.0,843.9,839.55,844.6,,843.9,,,203433,173143251.5,14041,F1,1,,,,,,AARTIPHARM,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19233,INE09EO01013,AARTISURF,EQ,,,,,AARTI SURFACTANTS LIMITED,462.4,462.4,451.05,453.9,454.0,462.4,,453.85,,,4787,2172815.55,504,F1,1,,,,,,AARTISURF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19073,INE754X01016,AARVI,EQ,,,,,AARVI ENCON LIMITED,121.5,121.5,117.11,117.86,117.7,119.34,,117.86,,,3814,452267.99,111,F1,1,,,,,,AARVI,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1640.0,1640.0,1596.0,1603.9,1604.0,1641.3,,1603.9,,,106726,171494337.3,16679,F1,1,,,,,,AAVAS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,13288,INE00ZE01026,AFSL,EQ,,,,,ABANS FINANCIAL SRVCS LTD,201.0,203.69,201.0,201.31,201.4,201.26,,201.3,,,31136,6261714.25,280,F1,1,,,,,,AFSL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,13,INE117A01022,ABB,EQ,,,,,ABB INDIA LIMITED,5258.0,5280.5,5172.0,5228.0,5205.0,5244.0,,5227.95,,,302941,1588966647.0,23999,F1,1,,,,,,ABB,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17903,INE358A01014,ABBOTINDIA,EQ,,,,,ABBOTT INDIA LIMITED,29400.0,30490.0,29260.0,29455.0,29500.0,29360.0,,29455.6,,,55284,1651572000.0,20431,F1,1,,,,,,ABBOTINDIA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,22,INE012A01025,ACC,EQ,,,,,ACC LIMITED,1835.6,1842.0,1827.1,1832.4,1829.9,1832.6,,1832.45,,,244677,448459734.8,17787,F1,1,,,,,,ACC,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7053,INE793A01012,ACCELYA,EQ,,,,,ACCELYA SOLN INDIA LTD,1385.0,1385.0,1345.0,1351.0,1346.0,1386.5,,1351.05,,,18375,24907021.4,1976,F1,1,,,,,,ACCELYA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,1465,INE648Z01023,ACCURACY,EQ,,,,,ACCURACY SHIPPING LIMITED,6.6,6.7,6.5,6.55,6.59,6.6,,6.55,,,130255,858542.53,691,F1,1,,,,,,ACCURACY,0,0,0,0
