TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,CLOSE,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TOTTRDQTY,TOTTRDVAL,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-09-05,2025-09-05,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,11500.0,11688.0,11500.0,11661.7,11688.0,11568.0,,11662.35,,,381,4437538.3,54,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,12000.0,12475.0,11515.0,11850.87,11818.0,11800.0,,11850.87,,,270,3237570.45,94,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,11561.0,11900.0,11560.0,11831.18,11825.0,11549.79,,11834.72,,,536,6262477.78,128,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,11599.99,11880.0,11565.1,11733.91,11751.0,11550.0,,11735.22,,,344,4017110.68,74,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,11882.7,11882.7,11641.5,11752.28,11780.0,11649.69,,11751.92,,,155,1817232.24,48,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,11699.0,11797.0,11650.01,11791.86,11796.99,11622.36,,11797.26,,,430,5044653.14,91,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,11622.95,11850.0,11620.54,11834.61,11850.0,11620.54,,11834.61,,,410,4838184.4,72,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,11500.0,11588.0,11350.0,11588.0,11588.0,11357.13,,11538.0,,,84,963861.36,21,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,11516.61,11516.61,11446.6,11446.6,11446.6,11379.0,,11462.6,,,17,194884.89,6,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,355,IN0020170075,SGBOCT25V,GB,,,,,2.50% GOLDBONDS2025SR-V,11396.4,11446.6,11396.4,11436.55,11436.55,11300.0,,11436.55,,,22,251453.57,7,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,458,IN0020170091,SGBNOV25,GB,,,,,2.50% GOLDBONDS2025SR-VII,11524.96,11581.48,11524.96,11581.48,11581.48,11524.96,,11581.48,,,7,80844.28,3,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,11700.0,11700.0,11700.0,11700.0,11700.0,11500.0,,11700.0,,,1,11700.0,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,729,IN0020170133,SGBDEC25XI,GB,,,,,2.50%GOLDBONDS 2025 SR-XI,10560.01,10560.01,10560.01,10560.01,10560.01,10245.0,,10560.01,,,1,10560.01,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,11350.0,11531.55,11350.0,11531.55,11531.55,11350.0,,11531.55,,,9,103057.74,4,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,11355.0,11355.0,11355.0,11355.0,11355.0,11355.0,,11393.49,,,2,22710.0,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,497,IN0020170109,SGBNOV258,GB,,,,,2.50%GOLDBONDS2025SR-VIII,11550.0,11550.0,11550.0,11550.0,11550.0,11462.76,,11550.0,,,20,231000.0,3,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,862,IN0020170158,SGBDEC2513,GB,,,,,2.50%GOLDBONDS2025SR-XIII,11600.0,11600.0,11588.0,11588.0,11588.0,11600.0,,11588.0,,,2,23188.0,2,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,11421.0,11450.0,11421.0,11450.0,11450.0,11358.0,,11434.01,,,7,80121.0,3,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,11687.0,11687.0,11687.0,11687.0,11687.0,11500.0,,11687.0,,,4,46748.0,2,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,11400.01,11645.4,11400.01,11645.0,11645.0,11599.0,,11645.0,,,22,254245.64,9,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,11900.0,11900.0,11900.0,11900.0,11900.0,11450.0,,11900.0,,,1,11900.0,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,945,IN0020170166,SGBJAN26,GB,,,,,2.50%GOLDBONDS2026SR-XIV,11545.0,11545.0,11545.0,11545.0,11545.0,11545.0,,11472.5,,,1,11545.0,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,11579.94,11774.97,11579.94,11774.97,11774.97,11579.94,,11774.97,,,5,58094.76,4,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,11355.0,11650.0,11355.0,11650.0,11650.0,11470.0,,11600.0,,,30,348011.52,10,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,12350.0,12399.99,11916.0,12261.14,12358.61,12215.3,,12261.14,,,163,1996847.77,51,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,10600.0,11700.0,10600.0,11700.0,11700.0,11500.0,,11700.0,,,122,1393761.9,28,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,11850.0,11990.0,10811.01,11987.99,11987.99,11699.99,,11987.99,,,13,150188.53,9,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,11700.0,12000.0,11700.0,12000.0,12000.0,11588.0,,12000.0,,,5,58900.0,3,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,11790.0,11790.0,11790.0,11790.0,11790.0,11790.0,,11790.0,,,1,11790.0,1,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,11500.0,11642.99,11500.0,11642.94,11642.94,11535.0,,11546.47,,,303,3515436.09,17,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,11900.0,11999.99,11900.0,11956.24,11999.99,11700.0,,11956.24,,,52,620395.99,15,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,11970.0,12249.0,11840.0,12111.0,12166.0,11800.0,,12073.14,,,122,1471504.39,34,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,11548.0,11679.0,11520.0,11676.68,11679.0,11547.81,,11669.48,,,280,3250196.58,62,F1,1,,,,,
2025-09-05,2025-09-05,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,11475.0,11660.0,11475.0,11646.05,11660.0,11502.74,,11646.05,,,341,3963500.46,83,F1,1,,,,,
