Date,Symbol,Exchange,Price,Delivery_Percent,Momentum_Score
2025-11-12,DEEPAKFERT,NSE,1365.4,65.12,88.1
2025-11-12,HONAUT,NSE,35505.0,81.30,37.7
2025-11-12,UTINEXT50,NSE,75.04,92.49,90.1
2025-11-12,SEQUENT,NSE,238.21,51.21,74.8
2025-11-12,GHCL,NSE,624.5,69.87,72.3
2025-11-12,NCC,NSE,186.8,56.28,72.2
2025-11-12,PAVNAIND,NSE,36.14,73.40,70.4
2025-11-12,APLAPOLLO,NSE,1796.4,79.01,36.2
2025-11-13,ORIENTELEC,NSE,212.98,88.06,100.0
2025-11-13,SEQUENT,NSE,227.81,50.50,71.0
2025-11-13,TIRUPATIFL,NSE,34.13,69.41,44.0
2025-11-13,MAYURUNIQ,NSE,528.35,70.36,29.3
2025-11-13,GILLETTE,NSE,8463.5,57.89,26.7
2025-11-13,LICI,NSE,902.85,56.91,11.5
2025-11-14,ORIENTELEC,NSE,212.98,88.06,100.0
2025-11-14,SEQUENT,NSE,227.81,50.50,75.4
2025-11-14,GILLETTE,NSE,8463.5,57.89,41.5
2025-11-16,WONDERLA,NSE,523.75,78.94,63.3
2025-11-17,SIGNATURE,NSE,1110.6,50.88,100.0
2025-11-17,HMVL,NSE,75.37,93.74,99.4
2025-11-17,LTTS,NSE,4105.4,80.08,91.2
2025-11-17,ORIENTELEC,NSE,203.31,73.72,40.6
2025-11-18,SIGNATURE,NSE,1110.6,50.88,100.0
2025-11-18,HMVL,NSE,75.37,93.74,99.4
2025-11-18,LTTS,NSE,4105.4,80.08,91.2
2025-11-18,ORIENTELEC,NSE,203.31,73.72,40.6
2025-11-21,GOCOLORS,NSE,535.15,88.05,99.7
2025-11-21,UFBL,NSE,177.55,86.18,91.7
2025-11-21,PSUBNKBEES,NSE,93.21,83.71,89.5
2025-11-21,NIITMTS,NSE,361.75,81.57,87.1
2025-11-21,SIS,NSE,323.0,81.41,84.1
2025-11-21,MPHASIS,NSE,2747.1,56.93,76.8
2025-11-21,CONCOR,NSE,511.2,65.51,69.5
2025-11-21,TATACONSUM,NSE,1183.1,71.88,68.3
2025-11-21,MPSLTD,NSE,2072.8,61.88,61.4
2025-11-21,MANKIND,NSE,2242.1,77.19,10.7
2025-11-26,ZMILGFIN,BSE,78.88,87.39,77.9
2025-11-26,MIDWEST,BSE,3403.4,100.00,73.6
2025-11-26,HAZOOR,BSE,37.6,74.78,69.4
2025-11-26,RELIANCE,NSE,1569.9,60.92,10.3
2025-11-29,CNCRD,BSE,2539.85,93.42,100.0
2025-11-29,KOVAI,BSE,5998.6,93.92,100.0
2025-11-29,LTIM,NSE,6096.5,66.83,84.8
2025-11-29,PFIZER,NSE,4975.0,87.33,47.4
2025-12-01,GALAXYSURF,NSE,2014.5,86.68,96.4
2025-12-01,PRUDENT,NSE,2450.1,83.93,60.8
2025-12-01,LTIM,NSE,6152.5,63.95,36.2
2025-12-06,AXITA,NSE,10.68,69.06,90.1
2025-12-06,GROWWPOWER,NSE,9.79,99.56,73.6
2025-12-06,TCS,NSE,3238.2,61.77,67.3
2025-12-16,MANGIND,BSE,0.83,75.80,69.3
2025-12-16,MANKIND,NSE,2106.0,75.23,49.9
2025-12-16,SHUKRAPHAR,BSE,56.39,100.00,44.4
2026-07-27,PIDILITIND,NSE,1570.9,66.57,60.8
2026-07-27,HDFCPVTBAN,NSE,27.86,80.80,41.6
2026-08-31,GTPL,NSE,53.54,96.66,99.2
2026-08-31,ASIANHOTNR,NSE,315.95,96.65,92.2
2026-08-31,PRARUH,BSE,99.66,100.00,74.1
2026-08-31,CSLFINANCE,NSE,230.92,86.71,52.7
