DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,TRIGGER_COUNT_30D,REPEAT_FLAG,AI_SCORE
2026-08-06,APOLLOPIPE,,NSE,527.25,70.45,308050030.5,50317.391625,,48.190000000000005,47.07636363636364,41.58242424242425,156765471.51,56350231.809090905,55380584.381818175,22501.294014806164,15626.698202336673,15221.80364795612,1.6942254157496608,5.562419283555537,3.3056129739103732,True,True,True,1.0,0.9733333333333334,0.96,0.9813333333333334,1,False,0.9733333333333334
2026-08-06,SHANKARA,,NSE,140.99,84.58,78396220.59,44356.58054092868,,72.64000000000001,69.77409090909092,54.46909090909091,45872446.918,26491254.74909091,15266813.402727274,38565.75946532911,24456.870458228208,12579.291796960886,1.5528072635022365,5.13507426349989,3.5261588058276123,True,True,True,0.9466666666666667,0.9333333333333333,0.9866666666666667,0.9493333333333334,3,True,0.8466666666666667
2026-08-06,GREENPLY,,NSE,286.85,77.32,83720901.55000001,25459.79864457832,,55.61399999999999,52.3109090909091,46.08515151515152,45855616.77,41939103.975,35786376.267878786,17695.182144455837,15758.092328145764,13563.130806697076,1.6777638232257805,2.3394629543742433,1.8771328690575644,True,True,True,0.9866666666666667,0.8666666666666667,0.8666666666666667,0.9146666666666667,1,False,0.9053333333333333
2026-08-06,INDOSTAR,,NSE,233.4,71.38,34888865.4,21722.754024010672,,61.44199999999999,54.415909090909096,50.63121212121212,26593297.02,19615118.920454547,17716664.681818184,13681.571291882668,11273.946182796346,10411.269190330546,1.4098023138200773,1.9692682582520666,2.086465504530961,True,True,True,0.88,0.8133333333333334,0.8933333333333333,0.856,1,False,0.9053333333333333
2026-08-06,SUNDRMFAST,,NSE,1085.25,73.13,555191109.75,33237.08077809798,,63.528,62.62545454545455,60.98075757575758,118973615.35,100502095.09545456,72455596.69469698,14362.234651448114,13859.243325327669,10542.089962417602,1.1992307558519453,7.662501381216758,3.152798059643552,True,True,True,0.64,0.9866666666666667,0.9466666666666667,0.8400000000000001,1,False,0.9306666666666665
2026-08-06,SUDARSCHEM,,NSE,1115.6,61.26,354302288.4,28254.8406720628,,56.084,49.12136363636364,46.47121212121212,162630678.54000002,139153336.98863637,115666171.375,23693.152437679262,19978.082512730944,17183.54679001192,1.3182354667275276,3.063145292942398,1.64429619899462,True,True,True,0.8133333333333334,0.88,0.8,0.8373333333333334,1,False,0.8493333333333333
2026-08-06,ICICIPRULI,,NSE,507.0,66.64,1038078444.0,58714.70141839964,,62.874,54.311818181818175,54.01045454545454,722804927.28,562063941.2909092,521928786.56893945,38257.89354169353,27553.91135924772,26005.83582967754,1.2338352002558428,1.9889273608074585,2.257750983392549,True,True,True,0.68,0.8266666666666667,0.92,0.7866666666666667,1,False,0.9026666666666667
2026-08-05,SMCGLOBAL,,NSE,80.6,58.93,49072101.0,745.2334796344858,,61.61199999999999,57.21227272727273,55.48484848484848,45299183.462,36313328.575,25627210.123181816,19302.32348895352,15286.330250485084,12417.302637375296,1.0620917531403606,1.9148436667169808,0.0600157297762382,True,True,True,0.41333333333333333,0.8,0.013333333333333334,0.48800000000000004,1,False,0.32933333333333337
2026-08-05,THYROCARE,,NSE,598.05,43.78,47034838.35,11385.29488205785,,55.858,46.45318181818181,45.22681818181819,213838926.52,177658413.75681818,131907615.3712121,16879.89768028784,13157.586082820686,12068.574204659171,0.9680097287409922,0.356574093297308,0.9433835918796823,True,True,True,0.30666666666666664,0.09333333333333334,0.5866666666666667,0.2773333333333333,1,False,0.5920000000000001
2026-08-03,SHANKARA,,NSE,140.99,84.58,78396220.59,44356.58054092868,,72.64000000000001,69.77409090909092,54.46909090909091,45872446.918,26491254.74909091,15266813.402727274,38565.75946532911,24456.870458228208,12579.291796960886,1.5528072635022365,5.13507426349989,3.5261588058276123,True,True,True,0.9466666666666667,0.9333333333333333,0.9866666666666667,0.9493333333333334,3,True,0.8466666666666667
2026-07-31,KINETICENG,INE266B01017,BSE,246.5,100.0,3753702.0,19000.74611398964,True,93.736,94.82272727272726,73.14212121212121,6666991.39,8258315.713636365,4891918.366666667,25112.9975514,26010.31985868201,21843.525127632125,1.367201256167942,0.7673271953141272,0.8698571317114764,True,True,True,0.8666666666666667,0.52,0.5066666666666667,0.656,1,False,0.6426666666666667
2026-07-31,ANANTRAJ,,NSE,617.4,45.95,340030580.4,30784.91233091389,,46.798,39.135,36.45121212121212,777399907.99,729235940.8545455,570329517.9598484,44835.44440739002,37528.66187328372,32035.391406476167,1.260589081295879,0.596200213547317,0.9609657001003744,True,True,True,0.7666666666666667,0.36666666666666664,0.6333333333333333,0.5800000000000001,2,True,0.5933333333333333
2026-07-31,EMIL,,NSE,149.78,24.79,354952238.72,24716.3482645168,,53.456,51.02772727272727,46.72409090909091,395494500.548,147166176.95636365,97762677.01636364,19737.27113602044,12468.022504485356,11118.607836664363,0.5305614195519149,3.6307540827732008,2.2229714931587896,True,True,True,0.02666666666666667,0.8933333333333333,0.9066666666666666,0.5493333333333333,1,False,0.8360000000000001
2026-07-31,HEROMOTOCO,,NSE,5550.5,51.71,1531682677.0,51379.71623704719,,51.624,52.34090909090909,50.49575757575758,2579227636.2,1920625089.7045453,1839583947.689394,70194.509887057,61557.03928754853,56399.892450143656,1.0240464245421157,0.8326245067118938,0.910989613720732,True,True,True,0.37333333333333335,0.56,0.5466666666666666,0.48266666666666674,1,False,0.6213333333333333
2026-07-31,AGRIBIO,,BSE,315.05,36.09,892221.6,42631.36206896552,,41.824,43.575909090909086,39.03863636363637,2424275.03,2001390.5227272727,1616132.1696969697,62406.3417587827,56671.24010040553,51115.032977626346,0.9244687663736391,0.5520721737550058,0.8340278697976341,True,True,True,0.21333333333333335,0.32,0.4533333333333333,0.30400000000000005,1,False,0.5253333333333332
2026-07-30,SHANKARA,,NSE,140.99,84.58,78396220.59,44356.58054092868,,72.64000000000001,69.77409090909092,54.46909090909091,45872446.918,26491254.74909091,15266813.402727274,38565.75946532911,24456.870458228208,12579.291796960886,1.5528072635022365,5.13507426349989,3.5261588058276123,True,True,True,0.9466666666666667,0.9333333333333333,0.9866666666666667,0.9493333333333334,3,True,0.8466666666666667
2026-07-30,ANANTRAJ,,NSE,617.4,45.95,340030580.4,30784.91233091389,,46.798,39.135,36.45121212121212,777399907.99,729235940.8545455,570329517.9598484,44835.44440739002,37528.66187328372,32035.391406476167,1.260589081295879,0.596200213547317,0.9609657001003744,True,True,True,0.7666666666666667,0.36666666666666664,0.6333333333333333,0.5800000000000001,2,True,0.5933333333333333
2026-07-24,PIDILITIND,,NSE,1686.0,56.93,1735947750.0,43186.30713428743,,53.838,60.596363636363634,58.51530303030303,1140328274.08,1077113671.831818,932675720.8878788,51460.37823035122,42503.95653284084,36502.911600714775,0.9729078899329624,1.8612554300731994,1.1830921217101429,True,True,True,0.3333333333333333,0.7866666666666666,0.7333333333333333,0.5946666666666667,1,False,0.752
2026-07-23,VRLLOG,,NSE,284.65,43.04,146145856.95,18014.301025788263,,46.312,57.75999999999999,55.60075757575758,141486650.98999998,76945986.52636364,39445480.50636363,17292.780141824922,12333.701315233164,8830.623595342937,0.7740901720872563,3.7050089154427384,2.039980623258428,True,True,True,0.05333333333333334,0.9066666666666666,0.88,0.56,1,False,0.8240000000000001
2026-07-23,PANORAMA,,BSE,48.58,36.96,3066855.4,11533.029166666667,,47.298,58.960000000000015,41.62015151515152,10658377.0,10658801.052727273,6982753.135909092,23186.05820166124,33329.769585197006,24624.820475967503,0.8880313659248688,0.43920432819378524,0.46834977651602705,True,True,True,0.16666666666666666,0.19333333333333333,0.06,0.15600000000000003,4,True,0.12200000000000001
2026-07-23,KRISHIVAL,,NSE,390.1,56.67,79580.40000000001,3120.5822222222223,,83.67600000000002,85.57863636363636,85.78939393939395,16832917.71,9486987.561363636,4509894.934848485,34433.699958193814,31258.403951639248,18570.4352190285,0.660571166175094,0.017645732583496117,0.16804033860362447,True,True,True,0.04,0.013333333333333334,0.02666666666666667,0.026666666666666672,1,False,0.22133333333333335
2026-07-22,ANTHEM,,NSE,825.65,67.4,444769398.5,16223.582975516962,,54.934000000000005,60.175,56.425606060606064,305078098.67,400400815.6295455,269195125.92727274,17613.80137504842,15566.027911707,14366.405204066736,1.1944931513470405,1.6522193593511103,1.1292722671447768,True,True,True,0.6266666666666667,0.76,0.6933333333333334,0.6933333333333335,1,False,0.7546666666666666
2026-07-21,CSLFINANCE,,NSE,213.04,81.29,6555879.92,10067.172148148147,,67.126,70.3240909090909,63.85954545454546,1523101.4619999998,5073661.926363636,3929470.506212121,8878.951050923872,12944.19008667221,10669.219687127006,1.2729498686748617,1.6683876134547324,0.9435715491260095,True,True,True,0.7866666666666666,0.7733333333333333,0.6,0.744,1,False,0.716
